Column1.1,Column1.2,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
1.62037E-07,-0.008828,-0.43948,-9.78398,0.000562,0.000316,-0.00088,-20.241224,-1.175478,-15.324494,0.016203704
1.30787E-06,-0.02321,-0.420292,-9.793499,-0.000237,0.000449,0.000185,-21.058746,-2.887829,-13.263711,0.130787037
3.83102E-06,-0.032799,-0.43948,-9.77922,0.000429,-0.00035,0.000318,-20.568233,-2.317044,-14.20043,0.383101852
6.37731E-06,-0.02321,-0.434683,-9.788741,-0.000104,0.000449,0.000318,-20.731739,-1.74626,-13.6384,0.637731481
8.94676E-06,-0.018416,-0.43948,-9.80778,0.000429,0.000449,0.000318,-19.914215,-1.175478,-13.451054,0.894675926
1.1412E-05,-0.02321,-0.43948,-9.77446,0.000562,0.000049,0.000451,-20.731739,-0.604694,-15.13715,1.141203704
1.39699E-05,-0.02321,-0.434683,-9.798259,0.000029,0.000316,-0.000214,-20.404727,-2.507305,-13.263711,1.396990741
1.64815E-05,-0.02321,-0.444277,-9.77446,0.000162,0.000182,0.000451,-20.241224,-1.175478,-13.451054,1.648148148
1.77431E-05,-0.018416,-0.434683,-9.77446,-0.000503,0.000049,-0.000081,-20.568233,-2.697568,-13.825742,1.774305556
2.02778E-05,-0.028004,-0.43948,-9.793499,0.000162,0.000182,-0.000481,-20.241224,-2.317044,-14.20043,2.027777778
2.28125E-05,-0.028004,-0.43948,-9.77922,-0.000503,0.000316,0.000052,-19.260196,-2.317044,-13.451054,2.28125
2.53819E-05,-0.032799,-0.449074,-9.76494,0.000429,-0.000483,0.000984,-19.914215,-1.555999,-15.699182,2.538194444
2.79167E-05,-0.018416,-0.444277,-9.803019,0.000961,-0.000084,-0.000481,-20.731739,-4.79044,-14.387774,2.791666667
3.0463E-05,-0.037593,-0.458668,-9.77922,0.000961,-0.00075,0.000451,-18.933187,-1.175478,-14.575119,3.046296296
3.29398E-05,-0.02321,-0.429886,-9.77446,-0.001036,0.000182,0.000984,-22.693792,-1.74626,-14.387774,3.293981481
3.5463E-05,-0.008828,-0.43948,-9.80778,-0.000104,0.001381,0.000185,-19.096693,-1.365737,-13.263711,3.546296296
3.79861E-05,-0.02321,-0.444277,-9.798259,0.000029,0.000049,-0.000081,-19.914215,-1.555999,-14.575119,3.798611111
4.05556E-05,-0.018416,-0.43948,-9.798259,-0.000503,0.000182,-0.000747,-20.731739,-2.887829,-15.13715,4.055555556
4.31134E-05,-0.02321,-0.444277,-9.798259,0.000429,-0.001016,0.000318,-19.750711,-1.74626,-15.13715,4.311342593
4.43403E-05,-0.018416,-0.449074,-9.788741,-0.000237,-0.000084,0.000185,-20.241224,-2.697568,-13.825742,4.434027778
4.69097E-05,-0.028004,-0.429886,-9.788741,-0.000104,-0.000883,0.000451,-21.549259,-1.555999,-13.451054,4.690972222
4.94329E-05,-0.018416,-0.43948,-9.793499,-0.00037,-0.00035,-0.000747,-19.4237,-0.985215,-14.013086,4.943287037
5.1956E-05,-0.032799,-0.434683,-9.7697,0.000562,0.000316,-0.000348,-20.895242,-1.175478,-14.20043,5.195601852
5.45023E-05,-0.028004,-0.425089,-9.7697,0.000162,-0.000084,0.000318,-19.914215,-3.078089,-14.949806,5.450231481
5.7037E-05,-0.02321,-0.449074,-9.798259,-0.000237,0.001115,0.000052,-22.366783,-1.365737,-14.762462,5.703703704
6.52315E-05,-0.037593,-0.434683,-9.78398,-0.000104,0.000049,-0.000747,-19.096693,-2.126784,-15.13715,6.523148148
6.52315E-05,-0.008828,-0.434683,-9.793499,0.000029,0.000049,0.000851,-20.895242,-2.317044,-14.575119,6.523148148
6.52315E-05,-0.018416,-0.43948,-9.788741,0.000429,0.000049,-0.000081,-20.241224,-1.555999,-16.073867,6.523148148
6.63889E-05,-0.028004,-0.43948,-9.798259,0.000961,-0.000883,0.000451,-20.731739,-2.887829,-14.013086,6.638888889
6.89583E-05,-0.013622,-0.43948,-9.77446,0.000029,0.000049,0.000851,-20.895242,-1.936523,-15.699182,6.895833333
7.14583E-05,-0.018416,-0.425089,-9.798259,0.000296,-0.000084,0.000451,-20.568233,-2.317044,-13.451054,7.145833333
7.39815E-05,-0.028004,-0.434683,-9.78398,0.000029,-0.00035,-0.000614,-21.222251,-1.936523,-14.949806,7.398148148
7.65856E-05,-0.028004,-0.434683,-9.798259,-0.000503,0.000049,0.000052,-20.731739,-2.126784,-13.263711,7.658564815
7.91088E-05,-0.02321,-0.425089,-9.793499,-0.000104,0.001115,-0.000081,-19.4237,-0.604694,-12.889022,7.91087963
8.16319E-05,-0.018416,-0.425089,-9.77446,-0.000104,0.000316,0.000052,-21.058746,-3.648873,-14.013086,8.163194444
8.41435E-05,-0.032799,-0.444277,-9.7697,0.000961,0.000049,0.000185,-19.096693,-4.029395,-16.261211,8.414351852
8.66898E-05,-0.02321,-0.449074,-9.803019,-0.000637,-0.00075,-0.000747,-20.07772,-2.507305,-13.6384,8.668981481
8.79282E-05,-0.028004,-0.43948,-9.7697,0.000029,0.000582,-0.000214,-19.750711,-2.507305,-13.6384,8.792824074
9.04977E-05,-0.037593,-0.434683,-9.77922,0.000828,0.000715,0.000185,-18.115665,-3.26835,-14.013086,9.049768519
9.29977E-05,-0.02321,-0.43948,-9.803019,0.000162,0.000049,0.000052,-19.914215,-3.078089,-13.451054,9.299768519
9.55556E-05,-0.018416,-0.434683,-9.76018,0.000162,0.000182,-0.000214,-20.568233,-3.078089,-13.451054,9.555555556
9.80671E-05,-0.013622,-0.449074,-9.76494,0.000961,-0.000084,0.000185,-20.731739,-2.126784,-15.886525,9.806712963
0.000100556,-0.02321,-0.429886,-9.77922,0.000429,0.000182,-0.000214,-19.750711,-2.507305,-13.263711,10.05555556
