yaw,pitch,roll,ayaw,apitch,aroll,myaw,mpitch,mroll,time
60,2.13,-1.44,61.3,2.37,-1.38,179.976831526578,-0.0117203074363494,-0.0216061185010581,0.014
60,2.13,-1.44,61.31,2.37,-1.38,179.953009811558,-0.0222250905886854,-0.0449577506583209,0.014
60,2.13,-1.44,61.31,2.37,-1.38,179.930635741558,-0.0329695959849582,-0.0667894724531762,0.014
60,2.13,-1.44,61.31,2.37,-1.38,179.906331710448,-0.0443231522264975,-0.0885787273815953,0.014
60,2.13,-1.44,61.31,2.37,-1.38,179.88354345884,-0.0557145166622454,-0.111291685141891,0.014
60,2.13,-1.44,61.31,2.37,-1.38,179.860797655723,-0.0676459969818426,-0.133475725249879,0.014
60,2.13,-1.44,61.31,2.37,-1.38,179.835924454796,-0.0783420289801438,-0.155313574147142,0.014
60,2.13,-1.44,61.31,2.37,-1.38,179.811036935535,-0.0884347590262051,-0.177132432683806,0.014
60,2.13,-1.44,61.31,2.37,-1.38,179.787582690364,-0.0985681685206075,-0.19978285349181,0.014
60,2.13,-1.44,61.3,2.37,-1.39,179.763539751323,-0.108652267838046,-0.223063599884301,0.014
60,2.13,-1.44,61.29,2.38,-1.39,179.739961252957,-0.120903289825388,-0.246075530268153,0.139
60,2.13,-1.44,61.28,2.38,-1.39,179.717584800925,-0.130753811928723,-0.269085087148826,0.139
60,2.13,-1.44,61.28,2.38,-1.4,179.693367541821,-0.141320031219166,-0.291617959305936,0.139
60,2.13,-1.44,61.28,2.38,-1.4,179.669706746087,-0.150705098532471,-0.315384575429692,0.139
60,2.13,-1.44,61.27,2.38,-1.4,179.646289496696,-0.161897226606569,-0.338114210101723,0.139
60,2.13,-1.44,61.27,2.39,-1.41,179.623458127318,-0.172499870549856,-0.360818412825992,0.259
60,2.13,-1.44,61.28,2.38,-1.4,179.601589918298,-0.184721416703041,-0.383595265938985,0.259
60,2.13,-1.44,61.28,2.38,-1.4,179.577886977654,-0.197672274832216,-0.40582412252428,0.259
60,2.13,-1.44,61.28,2.38,-1.4,179.55565967949,-0.209242604957093,-0.429574832434831,0.259
60,2.13,-1.44,61.27,2.38,-1.4,179.532793604654,-0.21824757371838,-0.450921557927822,0.259
60,2.13,-1.44,61.29,2.38,-1.39,179.509889545169,-0.229061451666269,-0.47196621063095,0.378
60,2.13,-1.44,61.31,2.37,-1.38,179.487034255477,-0.239287895095642,-0.494843422551936,0.378
60,2.13,-1.44,61.31,2.37,-1.39,179.463837551114,-0.250127900373922,-0.516455655668033,0.378
60,2.13,-1.44,61.31,2.37,-1.38,179.438136682788,-0.260944556196083,-0.5367765003158,0.378
60,2.13,-1.44,61.31,2.37,-1.38,179.4141121589,-0.27141275119777,-0.55806323541537,0.566
60,2.13,-1.44,61.31,2.37,-1.39,179.390745754605,-0.283585157911819,-0.581244747493141,0.566
60,2.13,-1.44,61.3,2.37,-1.39,179.365831080845,-0.295806475929818,-0.601928616233034,0.566
60,2.13,-1.44,61.29,2.38,-1.39,179.341556871936,-0.306186012538715,-0.623817792478626,0.566
60,2.13,-1.44,61.29,2.37,-1.39,179.317072003027,-0.31731716476029,-0.644793527843741,0.566
60,2.13,-1.44,61.29,2.37,-1.39,179.291375582367,-0.327764712754069,-0.666389096569538,0.566
60,2.13,-1.44,61.3,2.37,-1.39,179.26699538466,-0.339684712578428,-0.688570616925121,0.566
60,2.13,-1.44,61.3,2.37,-1.38,179.242005163995,-0.349760777597888,-0.710161794018264,0.566
60,2.13,-1.44,61.31,2.37,-1.38,179.218403860224,-0.359550357886327,-0.731860431114279,0.678
60,2.13,-1.44,61.31,2.37,-1.38,179.193636044716,-0.370545409646296,-0.754778624711701,0.678
60,2.13,-1.44,61.31,2.37,-1.38,179.170969805786,-0.380442255615825,-0.77795679623754,0.678
60,2.13,-1.44,61.31,2.37,-1.38,179.147081186983,-0.391498180409872,-0.801126856614131,0.678
60,2.13,-1.44,61.29,2.37,-1.39,179.121973498156,-0.40212708631773,-0.823989706012683,0.778
60,2.13,-1.44,61.28,2.38,-1.39,179.098131009932,-0.41271234612704,-0.846237052475959,0.778
60,2.13,-1.44,61.28,2.38,-1.4,179.074394837182,-0.422537134145784,-0.870457612044905,0.778
60,2.13,-1.44,61.28,2.38,-1.4,179.050022559125,-0.43239999391451,-0.892728339312221,0.778
60,2.13,-1.44,61.28,2.38,-1.39,179.024740747266,-0.443670026581864,-0.91342996878437,0.898
60,2.13,-1.44,61.28,2.38,-1.39,179.00007447226,-0.454342734974445,-0.935927073363389,0.898
60,2.13,-1.44,61.28,2.38,-1.39,178.976575178989,-0.466344586160827,-0.95777712637407,0.898
60,2.13,-1.44,61.27,2.38,-1.39,178.953085985107,-0.479003669555549,-0.979654147724523,0.898
60,2.13,-1.44,61.27,2.38,-1.39,178.928764912673,-0.490073068262052,-1.00135823773201,0.898
60,2.13,-1.44,61.27,2.38,-1.39,178.904415594879,-0.499916963036365,-1.02244382656448,1.013
60,2.13,-1.44,61.27,2.38,-1.39,178.879876454159,-0.510784304311232,-1.04381482286896,1.013
60,2.13,-1.44,61.27,2.38,-1.39,178.857151983441,-0.521038465776163,-1.0657973720566,1.013
60,2.13,-1.44,61.27,2.38,-1.39,178.834487523728,-0.532715426555506,-1.08891331670399,1.013
60,2.13,-1.44,61.27,2.38,-1.39,178.810029827713,-0.543145341586013,-1.11086603444687,1.013
60,2.13,-1.44,61.26,2.38,-1.4,178.78646978069,-0.553922773448212,-1.13324483089905,1.138
60,2.13,-1.44,61.25,2.38,-1.4,178.762830552597,-0.565860939663738,-1.15555775585443,1.138
60,2.13,-1.44,61.24,2.38,-1.4,178.737210499037,-0.577610007016287,-1.17536855109415,1.138
60,2.13,-1.44,61.24,2.38,-1.4,178.714065664555,-0.588817348204961,-1.19571276446724,1.138
